编号,代码,名称,类型,币种,交易所,最小下单量,最大下单量,期限,合约乘数,Tick
1,601155,新城A,STK,CNH,SEHKNTL,100,10000,,0,0.001
2,1030,新城H,STK,HKD,SEHK,2000,10000,,0,0.001
3,300759,康龙A,STK,CNH,CHINEXT,100,10000,,0,0.001
4,3759,康龙H,STK,HKD,SEHK,100,10000,,0,0.001
5,601088,中国神华A,STK,CNH,SEHKNTL,100,10000,,0,0.001
6,1088,中国神华H,STK,HKD,SEHK,500,10000,,0,0.001
7,000338,潍柴A,STK,CNH,SEHKSZSE,100,10000,,0,0.001
8,2338,潍柴H,STK,HKD,SEHK,1000,10000,,0,0.001
9,000157,中联重科A,STK,CNH,SEHKSZSE,100,10000,,0,0.001
10,1157,中联重科H,STK,HKD,SEHK,200,10000,,0,0.001
11,002594,比亚迪A,STK,CNH,SEHKSZSE,100,10000,,0,0.001
12,1211,比亚迪H,STK,HKD,SEHK,500,10000,,0,0.001
13,603993,洛阳钼业A,STK,CNH,SEHKNTL,100,10000,,0,0.001
14,3993,洛阳钼业H,STK,HKD,SEHK,3000,10000,,0,0.001
15,600585,海螺水泥A,STK,CNH,SEHKNTL,100,10000,,0,0.001
16,914,海螺水泥H,STK,HKD,SEHK,500,10000,,0,0.001
17,601111,中国国航A,STK,CNH,SEHKNTL,100,10000,,0,0.001
18,753,中国国航H,STK,HKD,SEHK,2000,10000,,0,0.001
19,600332,白云山A,STK,CNH,SEHKNTL,100,10000,,0,0.001
20,874,白云山H,STK,HKD,SEHK,100,10000,,0,0.001
21,601601,中国太保A,STK,CNH,SEHKNTL,100,10000,,0,0.001
22,2601,中国太保H,STK,HKD,SEHK,200,10000,,0,0.001
23,600600,青岛啤酒A,STK,CNH,SEHKNTL,100,10000,,0,0.001
24,168,青岛啤酒H,STK,HKD,SEHK,2000,10000,,0,0.001
25,603259,药明康德A,STK,CNH,SEHKNTL,100,10000,,0,0.001
26,2359,药明康德H,STK,HKD,SEHK,100,10000,,0,0.001
27,601336,新华保险A,STK,CNH,SEHKNTL,100,10000,,0,0.001
28,1336,新华保险H,STK,HKD,SEHK,100,10000,,0,0.001
29,000898,鞍钢股份A,STK,CNH,SEHKSZSE,100,10000,,0,0.001
30,347,鞍钢股份H,STK,HKD,SEHK,500,10000,,0,0.001
31,601633,长城汽车A,STK,CNH,SEHKNTL,100,10000,,0,0.001
32,2333,长城汽车H,STK,HKD,SEHK,500,10000,,0,0.001
33,601899,紫金矿业A,STK,CNH,SEHKNTL,100,10000,,0,0.001
34,2899,紫金矿业H,STK,HKD,SEHK,2000,10000,,0,0.001
35,601628,中国人寿A,STK,CNH,SEHKNTL,100,10000,,0,0.001
36,2628,中国人寿H,STK,HKD,SEHK,1000,10000,,0,0.001
37,600660,福耀玻璃A,STK,CNH,SEHKNTL,100,10000,,0,0.001
38,3606,福耀玻璃H,STK,HKD,SEHK,400,10000,,0,0.001
39,002460,赣锋锂业A,STK,CNH,SEHKSZSE,100,10000,,0,0.001
40,1772,赣锋锂业H,STK,HKD,SEHK,200,10000,,0,0.001
41,CNH.HKD,CNH.HKD,CASH,HKD,IDEALPRO,1,1,,0,0.001
