策略代码,策略名称,策略分组,策略状态,备注,Size,BuySize,SellSize,LastTradeId
1,新城,沪港通,0,测试,0,0,0,20200817  09:34:13 0000dc9a.5f39cd1b.01.01
2,新城2,沪港通,0,测试,0,0,0,20200722  10:10:12 0000dc9a.5f178bf8.01.01
3,康龙化成,沪港通,0,测试,0,0,0,20210104  10:31:10 0000dc9a.5ff27a48.01.01
4,康龙化成,沪港通,0,测试,0,0,0,20201015  09:51:04 0000dc9a.5f87957c.01.01
5,中国神华,沪港通,0,测试,1,1,0,20210618  13:18:52 0000dc9a.60cc0363.01.01
6,潍柴,沪港通,0,测试,0,0,0,20200519  10:51:55 0000dc9a.5ec32d4a.01.01
7,中联重科,沪港通,0,测试,2,2,0,20210604  09:38:11 0000dc9a.60b973e2.01.01
8,中联重科2,沪港通,0,测试,0,0,0,20200623  10:39:49 0000dc9a.5ef1635d.01.01
9,比亚迪,沪港通,0,测试,0,0,0,20200623  13:21:37 0000dc9a.5ef171d4.01.01
10,洛阳钼业,沪港通,0,测试,0,0,0,20210604  09:34:58 0000dc9a.60b97277.01.01
11,洛阳钼业2,沪港通,0,测试,0,0,0,20210511  13:08:39 0000dc9a.609a0bf4.01.01
12,中国国航,沪港通,0,测试,0,0,0,20200910  09:49:35 0000dc9a.5f5973c1.01.01
13,中国国航2,沪港通,0,测试,0,0,0,20200825  09:57:52 0000dc9a.5f445f02.01.01
14,长城汽车,沪港通,0,测试,0,2,-2,20210622  10:08:54 0000dc9a.60d1383d.01.01
15,长城汽车2,沪港通,0,测试,0,0,0,
16,青岛啤酒,沪港通,0,测试,0,0,0,20210617  09:37:44 0000dc9a.60ca95c5.01.01
17,药明康德,沪港通,0,测试,0,1,-1,20210622  09:37:23 0000dc9a.60d12eee.01.01
18,紫金矿业,沪港通,0,测试,1,1,0,20210622  14:40:44 0000dc9a.60d15743.01.01
19,紫金矿业2,沪港通,0,测试,0,0,0,20210129  11:13:09 0000dc9a.6013644a.01.01
20,赣锋锂业,沪港通,0,测试,2,2,0,20210622  09:43:23 0000dc9a.60d130e1.01.01
21,鞍钢股份2,沪港通,0,测试,0,0,0,20200529  09:35:41 000116e7.5ed05907.01.01
22,海螺水泥,沪港通,0,测试,0,0,0,
23,新华保险,沪港通,0,测试,0,0,0,
24,中国太保,沪港通,0,测试,0,0,0,20200512  11:15:17 0000dc9a.5eb9fd61.01.01
25,福耀玻璃,沪港通,0,测试,0,0,0,20210610  09:33:02 0000dc9a.60c1594c.01.01
26,白云山,沪港通,0,测试,0,0,0,
27,中国人寿,沪港通,0,测试,0,0,0,
